uid,phase,genotype,trt1,trt2
2024-07-21_31,h,K,nut,NH4
2024-07-21_32,h,K,dead,dead
2024-07-21_33,h,K,dead,dead
2024-07-21_34,h,L,dead,dead
2024-07-21_35,h,L,nut,NO3
2024-07-21_36,h,L,CTL,CTL
2024-07-21_38,h,M,nut,NH4
2024-07-21_39,h,M,nut,NO3
2024-07-21_4,h,B,dead,dead
2024-07-21_40,h,N,nut,NO3
2024-07-21_41,h,N,CTL,CTL
2024-07-21_42,h,N,CTL,CTL
2024-07-21_43,h,O,nut,NO3
2024-07-21_44,h,O,dead,dead
2024-07-21_45,h,O,CTL,CTL
2024-07-21_46,h,P,nut,NH4
2024-07-21_47,h,P,dead,dead
2024-07-21_48,h,P,CTL,CTL
2024-07-21_5,h,B,nut,NO3
2024-07-21_6,h,B,nut,NH4
2024-07-21_7,h,C,CTL,CTL
2024-07-28_1,h,A,dead,dead
2024-07-28_10,h,D,nut,NH4
2024-07-28_11,h,D,nut,NO3
2024-07-28_12,h,D,CTL,CTL
2024-07-28_14,h,E,CTL,CTL
2024-07-28_16,h,F,CTL,CTL
2024-07-28_17,h,F,nut,NO3
2024-07-28_18,h,F,nut,NH4
2024-07-28_19,h,G,CTL,CTL
2024-07-28_2,h,A,dead,dead
2024-07-28_20,h,G,nut,NH4
2024-07-28_21,h,G,nut,NO3
2024-07-28_22,h,H,nut,NH4
2024-07-28_23,h,H,nut,NO3
2024-07-28_24,h,H,CTL,CTL
2024-07-28_25,h,I,nut,NO3
2024-07-28_26,h,I,nut,NH4
2024-07-28_28,h,J,nut,NH4
2024-07-28_29,h,J,CTL,CTL
2024-07-28_3,h,A,dead,dead
2024-07-28_30,h,J,nut,NO3
2024-07-28_31,h,K,nut,NH4
2024-07-28_32,h,K,dead,dead
2024-07-28_33,h,K,dead,dead
2024-07-28_34,h,L,dead,dead
2024-07-28_35,h,L,nut,NO3
2024-07-28_36,h,L,CTL,CTL
2024-07-28_37,h,M,dead,dead
2024-07-28_38,h,M,nut,NH4
2024-07-28_39,h,M,nut,NO3
2024-07-28_40,h,N,nut,NO3
2024-07-28_41,h,N,CTL,CTL
2024-07-28_42,h,N,CTL,CTL
2024-07-28_43,h,O,nut,NO3
2024-07-28_44,h,O,dead,dead
2024-07-28_45,h,O,CTL,CTL
2024-07-28_46,h,P,nut,NH4
2024-07-28_47,h,P,dead,dead
2024-07-28_48,h,P,CTL,CTL
2024-07-28_5,h,B,nut,NO3
2024-07-28_6,h,B,nut,NH4
2024-07-28_7,h,C,CTL,CTL
2024-08-03_10,r,D,nut,NH4
2024-08-03_11,r,D,nut,NO3
2024-08-03_12,r,D,CTL,CTL
2024-08-03_14,r,E,CTL,CTL
2024-08-03_17,r,F,nut,NO3
2024-08-03_18,r,F,nut,NH4
2024-08-03_19,r,G,CTL,CTL
2024-08-03_2,r,A,dead,dead
2024-08-03_20,r,G,nut,NH4
2024-08-03_21,r,G,nut,NO3
2024-08-03_22,r,H,nut,NH4
2024-08-03_23,r,H,nut,NO3
2024-08-03_24,r,H,CTL,CTL
2024-08-03_25,r,I,nut,NO3
2024-08-03_26,r,I,nut,NH4
2024-08-03_28,r,J,nut,NH4
2024-08-03_29,r,J,CTL,CTL
2024-08-03_3,r,A,dead,dead
2024-08-03_30,r,J,nut,NO3
2024-08-03_31,r,K,nut,NH4
2024-08-03_32,r,K,dead,dead
2024-08-03_33,r,K,dead,dead
2024-08-03_34,r,L,dead,dead
2024-08-03_35,r,L,nut,NO3
2024-08-03_36,r,L,CTL,CTL
2024-08-03_37,r,M,dead,dead
2024-08-03_38,r,M,nut,NH4
2024-08-03_39,r,M,nut,NO3
2024-08-03_4,r,B,dead,dead
2024-08-03_40,r,N,nut,NO3
2024-08-03_42,r,N,CTL,CTL
2024-08-03_43,r,O,nut,NO3
2024-08-03_46,r,P,nut,NH4
2024-08-03_48,r,P,CTL,CTL
2024-08-03_5,r,B,nut,NO3
2024-08-03_6,r,B,nut,NH4
2024-08-03_7,r,C,CTL,CTL
2024-08-16_1,r,A,dead,dead
2024-08-16_10,r,D,nut,NH4
2024-08-16_11,r,D,nut,NO3
2024-08-16_12,r,D,CTL,CTL
2024-08-16_16,r,F,CTL,CTL
2024-08-16_17,r,F,nut,NO3
2024-08-16_18,r,F,nut,NH4
2024-08-16_19,r,G,CTL,CTL
2024-08-16_20,r,G,nut,NH4
2024-08-16_21,r,G,nut,NO3
2024-08-16_22,r,H,nut,NH4
2024-08-16_23,r,H,nut,NO3
2024-08-16_24,r,H,CTL,CTL
2024-08-16_25,r,I,nut,NO3
2024-08-16_26,r,I,nut,NH4
2024-08-16_27,r,I,dead,dead
2024-08-16_28,r,J,nut,NH4
2024-08-16_29,r,J,CTL,CTL
2024-08-16_30,r,J,nut,NO3
2024-08-16_31,r,K,nut,NH4
2024-08-16_35,r,L,nut,NO3
2024-08-16_36,r,L,CTL,CTL
2024-08-16_37,r,M,dead,dead
2024-08-16_38,r,M,nut,NH4
2024-08-16_39,r,M,nut,NO3
2024-08-16_4,r,B,dead,dead
2024-08-16_40,r,N,nut,NO3
2024-08-16_41,r,N,CTL,CTL
2024-08-16_42,r,N,CTL,CTL
2024-08-16_43,r,O,nut,NO3
2024-08-16_45,r,O,CTL,CTL
2024-08-16_46,r,P,nut,NH4
2024-08-16_48,r,P,CTL,CTL
2024-08-16_5,r,B,nut,NO3
2024-08-16_6,r,B,nut,NH4
2024-08-16_7,r,C,CTL,CTL
2024-08-25_10,r,D,nut,NH4
2024-08-25_11,r,D,nut,NO3
2024-08-25_12,r,D,CTL,CTL
2024-08-25_17,r,F,nut,NO3
2024-08-25_18,r,F,nut,NH4
2024-08-25_19,r,G,CTL,CTL
2024-08-25_20,r,G,nut,NH4
2024-08-25_21,r,G,nut,NO3
2024-08-25_22,r,H,nut,NH4
2024-08-25_23,r,H,nut,NO3
2024-08-25_24,r,H,CTL,CTL
2024-08-25_25,r,I,nut,NO3
2024-08-25_26,r,I,nut,NH4
2024-08-25_28,r,J,nut,NH4
2024-08-25_30,r,J,nut,NO3
2024-08-25_31,r,K,nut,NH4
2024-08-25_36,r,L,CTL,CTL
2024-08-25_38,r,M,nut,NH4
2024-08-25_39,r,M,nut,NO3
2024-08-25_41,r,N,CTL,CTL
2024-08-25_42,r,N,CTL,CTL
2024-08-25_43,r,O,nut,NO3
2024-08-25_46,r,P,nut,NH4
2024-08-25_5,r,B,nut,NO3
2024-08-25_6,r,B,nut,NH4
2024-08-25_7,r,C,CTL,CTL
2024-08-30_10,r,D,nut,NH4
2024-08-30_11,r,D,nut,NO3
2024-08-30_12,r,D,CTL,CTL
2024-08-30_18,r,F,nut,NH4
2024-08-30_19,r,G,CTL,CTL
2024-08-30_20,r,G,nut,NH4
2024-08-30_21,r,G,nut,NO3
2024-08-30_22,r,H,nut,NH4
2024-08-30_23,r,H,nut,NO3
2024-08-30_24,r,H,CTL,CTL
2024-08-30_25,r,I,nut,NO3
2024-08-30_26,r,I,nut,NH4
2024-08-30_28,r,J,nut,NH4
2024-08-30_31,r,K,nut,NH4
2024-08-30_35,r,L,nut,NO3
2024-08-30_36,r,L,CTL,CTL
2024-08-30_38,r,M,nut,NH4
2024-08-30_39,r,M,nut,NO3
2024-08-30_41,r,N,CTL,CTL
2024-08-30_42,r,N,CTL,CTL
2024-08-30_43,r,O,nut,NO3
2024-08-30_46,r,P,nut,NH4
2024-08-30_5,r,B,nut,NO3
2024-08-30_6,r,B,nut,NH4
2024-08-30_7,r,C,CTL,CTL
2024-09-04_10,r,D,nut,NH4
2024-09-04_11,r,D,nut,NO3
2024-09-04_12,r,D,CTL,CTL
2024-09-04_18,r,F,nut,NH4
2024-09-04_19,r,G,CTL,CTL
2024-09-04_20,r,G,nut,NH4
2024-09-04_21,r,G,nut,NO3
2024-09-04_22,r,H,nut,NH4
2024-09-04_23,r,H,nut,NO3
2024-09-04_24,r,H,CTL,CTL
2024-09-04_25,r,I,nut,NO3
2024-09-04_26,r,I,nut,NH4
2024-09-04_28,r,J,nut,NH4
2024-09-04_31,r,K,nut,NH4
2024-09-04_36,r,L,CTL,CTL
2024-09-04_38,r,M,nut,NH4
2024-09-04_39,r,M,nut,NO3
2024-09-04_41,r,N,CTL,CTL
2024-09-04_42,r,N,CTL,CTL
2024-09-04_43,r,O,nut,NO3
2024-09-04_46,r,P,nut,NH4
2024-09-04_5,r,B,nut,NO3
2024-09-04_6,r,B,nut,NH4
2024-09-04_7,r,C,CTL,CTL
2024-09-12_10,r,D,nut,NH4
2024-09-12_11,r,D,nut,NO3
2024-09-12_12,r,D,CTL,CTL
2024-09-12_18,r,F,nut,NH4
2024-09-12_19,r,G,CTL,CTL
2024-09-12_20,r,G,nut,NH4
2024-09-12_21,r,G,nut,NO3
2024-09-12_22,r,H,nut,NH4
2024-09-12_23,r,H,nut,NO3
2024-09-12_24,r,H,CTL,CTL
2024-09-12_25,r,I,nut,NO3
2024-09-12_26,r,I,nut,NH4
2024-09-12_28,r,J,nut,NH4
2024-09-12_31,r,K,nut,NH4
2024-09-12_38,r,M,nut,NH4
2024-09-12_39,r,M,nut,NO3
2024-09-12_42,r,N,CTL,CTL
2024-09-12_43,r,O,nut,NO3
2024-09-12_46,r,P,nut,NH4
2024-09-12_5,r,B,nut,NO3
2024-09-12_6,r,B,nut,NH4
2024-09-12_7,r,C,CTL,CTL
2024-09-18_10,r,D,nut,NH4
2024-09-18_11,r,D,nut,NO3
2024-09-18_12,r,D,CTL,CTL
2024-09-18_18,r,F,nut,NH4
2024-09-18_19,r,G,CTL,CTL
2024-09-18_20,r,G,nut,NH4
2024-09-18_21,r,G,nut,NO3
2024-09-18_22,r,H,nut,NH4
2024-09-18_23,r,H,nut,NO3
2024-09-18_24,r,H,CTL,CTL
2024-09-18_25,r,I,nut,NO3
2024-09-18_26,r,I,nut,NH4
2024-09-18_28,r,J,nut,NH4
2024-09-18_30,r,J,nut,NO3
2024-09-18_31,r,K,nut,NH4
2024-09-18_35,r,L,nut,NO3
2024-09-18_38,r,M,nut,NH4
2024-09-18_39,r,M,nut,NO3
2024-09-18_42,r,N,CTL,CTL
2024-09-18_43,r,O,nut,NO3
2024-09-18_5,r,B,nut,NO3
2024-09-18_6,r,B,nut,NH4
2024-09-23_10,r,D,nut,NH4
2024-09-23_11,r,D,nut,NO3
2024-09-23_12,r,D,CTL,CTL
2024-09-23_18,r,F,nut,NH4
2024-09-23_19,r,G,CTL,CTL
2024-09-23_20,r,G,nut,NH4
2024-09-23_21,r,G,nut,NO3
2024-09-23_22,r,H,nut,NH4
2024-09-23_23,r,H,nut,NO3
2024-09-23_24,r,H,CTL,CTL
2024-09-23_25,r,I,nut,NO3
2024-09-23_26,r,I,nut,NH4
2024-09-23_28,r,J,nut,NH4
2024-09-23_30,r,J,nut,NO3
2024-09-23_31,r,K,nut,NH4
2024-09-23_35,r,L,nut,NO3
2024-09-23_38,r,M,nut,NH4
2024-09-23_39,r,M,nut,NO3
2024-09-23_42,r,N,CTL,CTL
2024-09-23_43,r,O,nut,NO3
2024-09-23_46,r,P,nut,NH4
2024-09-23_5,r,B,nut,NO3
2024-09-23_6,r,B,nut,NH4
2024-09-26_10,r,D,nut,NH4
2024-09-26_11,r,D,nut,NO3
2024-09-26_12,r,D,CTL,CTL
2024-09-26_18,r,F,nut,NH4
2024-09-26_19,r,G,CTL,CTL
2024-09-26_20,r,G,nut,NH4
2024-09-26_21,r,G,nut,NO3
2024-09-26_22,r,H,nut,NH4
2024-09-26_23,r,H,nut,NO3
2024-09-26_24,r,H,CTL,CTL
2024-09-26_25,r,I,nut,NO3
2024-09-26_26,r,I,nut,NH4
2024-09-26_28,r,J,nut,NH4
2024-09-26_30,r,J,nut,NO3
2024-09-26_31,r,K,nut,NH4
2024-09-26_35,r,L,nut,NO3
2024-09-26_38,r,M,nut,NH4
2024-09-26_39,r,M,nut,NO3
2024-09-26_42,r,N,CTL,CTL
2024-09-26_43,r,O,nut,NO3
2024-09-26_5,r,B,nut,NO3
2024-09-26_6,r,B,nut,NH4
2024-10-02_10,r,D,nut,NH4
2024-10-02_11,r,D,nut,NO3
2024-10-02_12,r,D,CTL,CTL
2024-10-02_18,r,F,nut,NH4
2024-10-02_19,r,G,CTL,CTL
2024-10-02_20,r,G,nut,NH4
2024-10-02_21,r,G,nut,NO3
2024-10-02_22,r,H,nut,NH4
2024-10-02_23,r,H,nut,NO3
2024-10-02_25,r,I,nut,NO3
2024-10-02_26,r,I,nut,NH4
2024-10-02_28,r,J,nut,NH4
2024-10-02_31,r,K,nut,NH4
2024-10-02_35,r,L,nut,NO3
2024-10-02_38,r,M,nut,NH4
2024-10-02_39,r,M,nut,NO3
2024-10-02_42,r,N,CTL,CTL
2024-10-02_43,r,O,nut,NO3
2024-10-02_5,r,B,nut,NO3
2024-10-02_6,r,B,nut,NH4
2024-10-14_10,r,D,nut,NH4
2024-10-14_11,r,D,nut,NO3
2024-10-14_12,r,D,CTL,CTL
2024-10-14_18,r,F,nut,NH4
2024-10-14_19,r,G,CTL,CTL
2024-10-14_20,r,G,nut,NH4
2024-10-14_21,r,G,nut,NO3
2024-10-14_22,r,H,nut,NH4
2024-10-14_23,r,H,nut,NO3
2024-10-14_25,r,I,nut,NO3
2024-10-14_26,r,I,nut,NH4
2024-10-14_28,r,J,nut,NH4
2024-10-14_30,r,J,nut,NO3
2024-10-14_31,r,K,nut,NH4
2024-10-14_38,r,M,nut,NH4
2024-10-14_39,r,M,nut,NO3
2024-10-14_42,r,N,CTL,CTL
2024-10-14_43,r,O,nut,NO3
2024-10-14_5,r,B,nut,NO3
2024-10-14_6,r,B,nut,NH4
2024-10-25_10,r,D,nut,NH4
2024-10-25_11,r,D,nut,NO3
2024-10-25_12,r,D,CTL,CTL
2024-10-25_18,r,F,nut,NH4
2024-10-25_19,r,G,CTL,CTL
2024-10-25_20,r,G,nut,NH4
2024-10-25_21,r,G,nut,NO3
2024-10-25_22,r,H,nut,NH4
2024-10-25_23,r,H,nut,NO3
2024-10-25_25,r,I,nut,NO3
2024-10-25_26,r,I,nut,NH4
2024-10-25_28,r,J,nut,NH4
2024-10-25_31,r,K,nut,NH4
2024-10-25_38,r,M,nut,NH4
2024-10-25_39,r,M,nut,NO3
2024-10-25_42,r,N,CTL,CTL
2024-10-25_43,r,O,nut,NO3
2024-10-25_5,r,B,nut,NO3
2024-11-08_10,r,D,nut,NH4
2024-11-08_11,r,D,nut,NO3
2024-11-08_12,r,D,CTL,CTL
2024-11-08_18,r,F,nut,NH4
2024-11-08_19,r,G,CTL,CTL
2024-11-08_20,r,G,nut,NH4
2024-11-08_21,r,G,nut,NO3
2024-11-08_22,r,H,nut,NH4
2024-11-08_23,r,H,nut,NO3
2024-11-08_25,r,I,nut,NO3
2024-11-08_26,r,I,nut,NH4
2024-11-08_28,r,J,nut,NH4
2024-11-08_31,r,K,nut,NH4
2024-11-08_38,r,M,nut,NH4
2024-11-08_39,r,M,nut,NO3
2024-11-08_42,r,N,CTL,CTL
2024-11-08_43,r,O,nut,NO3
2024-11-08_5,r,B,nut,NO3
2024-11-23_10,r,D,nut,NH4
2024-11-23_11,r,D,nut,NO3
2024-11-23_12,r,D,CTL,CTL
2024-11-23_18,r,F,nut,NH4
2024-11-23_19,r,G,CTL,CTL
2024-11-23_20,r,G,nut,NH4
2024-11-23_21,r,G,nut,NO3
2024-11-23_22,r,H,nut,NH4
2024-11-23_23,r,H,nut,NO3
2024-11-23_25,r,I,nut,NO3
2024-11-23_26,r,I,nut,NH4
2024-11-23_28,r,J,nut,NH4
2024-11-23_31,r,K,nut,NH4
2024-11-23_38,r,M,nut,NH4
2024-11-23_39,r,M,nut,NO3
2024-11-23_42,r,N,CTL,CTL
2024-11-23_5,r,B,nut,NO3
